TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005524.014267] 64 bytes from 10.82.31.86: icmp_seq=150 ttl=60 time=30.0 ms
[1495005525.003330] 64 bytes from 10.82.31.86: icmp_seq=151 ttl=60 time=18.8 ms
[1495005526.019154] 64 bytes from 10.82.31.86: icmp_seq=152 ttl=60 time=34.5 ms
[1495005527.017315] 64 bytes from 10.82.31.86: icmp_seq=153 ttl=60 time=31.9 ms
[1495005528.019435] 64 bytes from 10.82.31.86: icmp_seq=154 ttl=60 time=34.2 ms
[1495005529.021853] 64 bytes from 10.82.31.86: icmp_seq=155 ttl=60 time=36.2 ms
[1495005530.018897] 64 bytes from 10.82.31.86: icmp_seq=156 ttl=60 time=32.8 ms
[1495005531.014580] 64 bytes from 10.82.31.86: icmp_seq=157 ttl=60 time=28.2 ms
[1495005532.025666] 64 bytes from 10.82.31.86: icmp_seq=158 ttl=60 time=38.9 ms
[1495005533.016468] 64 bytes from 10.82.31.86: icmp_seq=159 ttl=60 time=29.6 ms
[1495005534.023330] 64 bytes from 10.82.31.86: icmp_seq=160 ttl=60 time=35.6 ms
[1495005535.032271] 64 bytes from 10.82.31.86: icmp_seq=161 ttl=60 time=43.7 ms
[1495005536.013581] 64 bytes from 10.82.31.86: icmp_seq=162 ttl=60 time=24.3 ms
[1495005537.016236] 64 bytes from 10.82.31.86: icmp_seq=163 ttl=60 time=26.4 ms
[1495005538.020013] 64 bytes from 10.82.31.86: icmp_seq=164 ttl=60 time=29.5 ms
[1495005539.042263] 64 bytes from 10.82.31.86: icmp_seq=165 ttl=60 time=51.0 ms
[1495005540.027252] 64 bytes from 10.82.31.86: icmp_seq=166 ttl=60 time=35.7 ms
[1495005541.037967] 64 bytes from 10.82.31.86: icmp_seq=167 ttl=60 time=45.4 ms
[1495005542.023602] 64 bytes from 10.82.31.86: icmp_seq=168 ttl=60 time=30.4 ms
[1495005543.047055] 64 bytes from 10.82.31.86: icmp_seq=169 ttl=60 time=53.1 ms
[1495005544.025696] 64 bytes from 10.82.31.86: icmp_seq=170 ttl=60 time=31.4 ms
[1495005545.026673] 64 bytes from 10.82.31.86: icmp_seq=171 ttl=60 time=31.8 ms
[1495005546.042306] 64 bytes from 10.82.31.86: icmp_seq=172 ttl=60 time=47.4 ms
[1495005547.041440] 64 bytes from 10.82.31.86: icmp_seq=173 ttl=60 time=45.8 ms
