TIME, SSID, BSSID, SIGNAL, ACTIVE
13:37:43.820163  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5870099 bytes (57384 packets) 	TX: 170973127 bytes (118467 packets) 	signal: -62 dBm 	tx bitrate: 43.3 MBit/s MCS 4 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:44.820154  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 5962033 bytes (58285 packets) 	TX: 173692743 bytes (120350 packets) 	signal: -60 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:45.819960  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6090687 bytes (59546 packets) 	TX: 177263464 bytes (122822 packets) 	signal: -64 dBm 	tx bitrate: 65.0 MBit/s MCS 6 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:46.820167  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6191189 bytes (60531 packets) 	TX: 180124690 bytes (124803 packets) 	signal: -66 dBm 	tx bitrate: 28.9 MBit/s MCS 9 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:47.820165  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6241711 bytes (61026 packets) 	TX: 181523576 bytes (125772 packets) 	signal: -61 dBm 	tx bitrate: 28.9 MBit/s MCS 9 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:48.820137  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6318243 bytes (61776 packets) 	TX: 183871827 bytes (127398 packets) 	signal: -64 dBm 	tx bitrate: 115.6 MBit/s MCS 13 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

