TIME, SSID, BSSID, SIGNAL, ACTIVE
17:17:16.801430  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 25005741 bytes (244492 packets) 	TX: 709812269 bytes (491406 packets) 	signal: -54 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:17.801519  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 25462733 bytes (248972 packets) 	TX: 722617985 bytes (500269 packets) 	signal: -55 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:18.801407  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 25945225 bytes (253702 packets) 	TX: 736487221 bytes (509868 packets) 	signal: -54 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:19.801416  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 26458965 bytes (258696 packets) 	TX: 750723487 bytes (519721 packets) 	signal: -55 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:20.801435  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 26900081 bytes (263020 packets) 	TX: 763110153 bytes (528294 packets) 	signal: -57 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:21.801523  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 27315049 bytes (267088 packets) 	TX: 774930379 bytes (536475 packets) 	signal: -54 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:22.801412  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 27748173 bytes (271334 packets) 	TX: 787247685 bytes (545000 packets) 	signal: -54 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:23.801237  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 28205267 bytes (275815 packets) 	TX: 800316391 bytes (554045 packets) 	signal: -56 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:24.801430  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 28678545 bytes (280356 packets) 	TX: 812892352 bytes (562749 packets) 	signal: -59 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:25.801468  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 28870337 bytes (282236 packets) 	TX: 818237533 bytes (566449 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:26.801372  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 29166304 bytes (285137 packets) 	TX: 826714029 bytes (572316 packets) 	signal: -54 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:27.801566  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 29489574 bytes (288306 packets) 	TX: 835894240 bytes (578670 packets) 	signal: -55 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:28.801417  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 29878532 bytes (292119 packets) 	TX: 847020866 bytes (586371 packets) 	signal: -52 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:29.801407  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 30231484 bytes (295579 packets) 	TX: 857092642 bytes (593342 packets) 	signal: -52 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:30.801429  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 30632310 bytes (299508 packets) 	TX: 868768368 bytes (601423 packets) 	signal: -55 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:31.801505  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 31097176 bytes (304017 packets) 	TX: 881610209 bytes (610311 packets) 	signal: -54 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:32.801610  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 31407492 bytes (307059 packets) 	TX: 890469630 bytes (616443 packets) 	signal: -63 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:33.801647  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 31701488 bytes (309941 packets) 	TX: 898873876 bytes (622260 packets) 	signal: -66 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:17:34.801637  Connected to 00:25:45:a4:0a:8e (on wlan0) 	SSID: eduroam 	freq: 5240 	RX: 31944652 bytes (312324 packets) 	TX: 905760872 bytes (627027 packets) 	signal: -67 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

