TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980341.887489] 64 bytes from 10.82.31.73: icmp_seq=106 ttl=61 time=5.76 ms
[1489980342.891863] 64 bytes from 10.82.31.73: icmp_seq=107 ttl=61 time=8.13 ms
[1489980343.893319] 64 bytes from 10.82.31.73: icmp_seq=108 ttl=61 time=8.20 ms
[1489980344.892216] 64 bytes from 10.82.31.73: icmp_seq=109 ttl=61 time=5.69 ms
[1489980345.904990] 64 bytes from 10.82.31.73: icmp_seq=110 ttl=61 time=16.4 ms
[1489980346.897768] 64 bytes from 10.82.31.73: icmp_seq=111 ttl=61 time=7.49 ms
[1489980347.907875] 64 bytes from 10.82.31.73: icmp_seq=112 ttl=61 time=15.8 ms
[1489980348.909527] 64 bytes from 10.82.31.73: icmp_seq=113 ttl=61 time=15.3 ms
[1489980349.908141] 64 bytes from 10.82.31.73: icmp_seq=114 ttl=61 time=12.2 ms
[1489980350.911907] 64 bytes from 10.82.31.73: icmp_seq=115 ttl=61 time=14.5 ms
[1489980351.920428] 64 bytes from 10.82.31.73: icmp_seq=116 ttl=61 time=21.2 ms
[1489980352.911436] 64 bytes from 10.82.31.73: icmp_seq=117 ttl=61 time=10.6 ms
[1489980353.923073] 64 bytes from 10.82.31.73: icmp_seq=118 ttl=61 time=20.3 ms
[1489980354.929480] 64 bytes from 10.82.31.73: icmp_seq=119 ttl=61 time=25.1 ms
[1489980355.913925] 64 bytes from 10.82.31.73: icmp_seq=120 ttl=61 time=8.17 ms
[1489980356.924137] 64 bytes from 10.82.31.73: icmp_seq=121 ttl=61 time=16.8 ms
[1489980357.919438] 64 bytes from 10.82.31.73: icmp_seq=122 ttl=61 time=11.0 ms
[1489980358.990484] 64 bytes from 10.82.31.73: icmp_seq=123 ttl=61 time=80.6 ms
[1489980359.955036] 64 bytes from 10.82.31.73: icmp_seq=124 ttl=61 time=43.2 ms
[1489980360.932435] 64 bytes from 10.82.31.73: icmp_seq=125 ttl=61 time=19.0 ms
[1489980362.000504] 64 bytes from 10.82.31.73: icmp_seq=126 ttl=61 time=85.6 ms
[1489980362.923140] 64 bytes from 10.82.31.73: icmp_seq=127 ttl=61 time=7.41 ms
[1489980363.935072] 64 bytes from 10.82.31.73: icmp_seq=128 ttl=61 time=17.6 ms
[1489980364.929686] 64 bytes from 10.82.31.73: icmp_seq=129 ttl=61 time=10.3 ms
[1489980365.929797] 64 bytes from 10.82.31.73: icmp_seq=130 ttl=61 time=8.72 ms
[1489980366.934478] 64 bytes from 10.82.31.73: icmp_seq=131 ttl=61 time=11.2 ms
[1489980367.961785] 64 bytes from 10.82.31.73: icmp_seq=132 ttl=61 time=36.9 ms
[1489980368.993312] 64 bytes from 10.82.31.73: icmp_seq=133 ttl=61 time=67.1 ms
[1489980369.953937] 64 bytes from 10.82.31.73: icmp_seq=134 ttl=61 time=26.2 ms
[1489980371.182749] 64 bytes from 10.82.31.73: icmp_seq=135 ttl=61 time=253 ms
[1489980372.142034] 64 bytes from 10.82.31.73: icmp_seq=136 ttl=61 time=212 ms
[1489980373.096122] 64 bytes from 10.82.31.73: icmp_seq=137 ttl=61 time=166 ms
[1489980374.944555] 64 bytes from 10.82.31.73: icmp_seq=139 ttl=61 time=6.16 ms
[1489980375.945615] 64 bytes from 10.82.31.73: icmp_seq=140 ttl=61 time=5.65 ms
[1489980376.960175] 64 bytes from 10.82.31.73: icmp_seq=141 ttl=61 time=18.1 ms
[1489980377.953638] 64 bytes from 10.82.31.73: icmp_seq=142 ttl=61 time=10.0 ms
[1489980378.960885] 64 bytes from 10.82.31.73: icmp_seq=143 ttl=61 time=16.0 ms
[1489980380.199047] 64 bytes from 10.82.31.73: icmp_seq=144 ttl=61 time=252 ms
[1489980381.218887] 64 bytes from 10.82.31.73: icmp_seq=145 ttl=61 time=271 ms
[1489980385.730797] 64 bytes from 10.82.31.73: icmp_seq=146 ttl=61 time=3782 ms
[1489980385.735425] 64 bytes from 10.82.31.73: icmp_seq=147 ttl=61 time=2787 ms
[1489980385.772826] 64 bytes from 10.82.31.73: icmp_seq=148 ttl=61 time=1824 ms
[1489980385.772917] 64 bytes from 10.82.31.73: icmp_seq=149 ttl=61 time=824 ms
[1489980396.955808] 64 bytes from 10.82.31.73: icmp_seq=161 ttl=61 time=7.60 ms
[1489980397.951890] 64 bytes from 10.82.31.73: icmp_seq=162 ttl=61 time=1.64 ms
[1489980398.954011] 64 bytes from 10.82.31.73: icmp_seq=163 ttl=61 time=1.69 ms
[1489980399.958734] 64 bytes from 10.82.31.73: icmp_seq=164 ttl=61 time=4.29 ms
[1489980400.958945] 64 bytes from 10.82.31.73: icmp_seq=165 ttl=61 time=2.75 ms
[1489980401.997159] 64 bytes from 10.82.31.73: icmp_seq=166 ttl=61 time=38.7 ms
[1489980403.008369] 64 bytes from 10.82.31.73: icmp_seq=167 ttl=61 time=47.8 ms
[1489980403.966000] 64 bytes from 10.82.31.73: icmp_seq=168 ttl=61 time=5.33 ms
[1489980404.989325] 64 bytes from 10.82.31.73: icmp_seq=169 ttl=61 time=26.9 ms
[1489980406.000232] 64 bytes from 10.82.31.73: icmp_seq=170 ttl=61 time=36.6 ms
[1489980407.011606] 64 bytes from 10.82.31.73: icmp_seq=171 ttl=61 time=47.1 ms
[1489980407.986259] 64 bytes from 10.82.31.73: icmp_seq=172 ttl=61 time=21.2 ms
[1489980408.972156] 64 bytes from 10.82.31.73: icmp_seq=173 ttl=61 time=5.59 ms
[1489980409.980295] 64 bytes from 10.82.31.73: icmp_seq=174 ttl=61 time=11.8 ms
[1489980411.010462] 64 bytes from 10.82.31.73: icmp_seq=175 ttl=61 time=40.7 ms
[1489980412.067224] 64 bytes from 10.82.31.73: icmp_seq=176 ttl=61 time=96.5 ms
[1489980413.053401] 64 bytes from 10.82.31.73: icmp_seq=177 ttl=61 time=81.8 ms
[1489980414.017213] 64 bytes from 10.82.31.73: icmp_seq=178 ttl=61 time=45.4 ms
[1489980415.029862] 64 bytes from 10.82.31.73: icmp_seq=179 ttl=61 time=57.4 ms
[1489980416.587198] 64 bytes from 10.82.31.73: icmp_seq=180 ttl=61 time=613 ms
[1489980450.212213] From 10.82.31.73 icmp_seq=211 Destination Host Unreachable
[1489980450.212319] From 10.82.31.73 icmp_seq=212 Destination Host Unreachable
[1489980450.212352] From 10.82.31.73 icmp_seq=213 Destination Host Unreachable
[1489980458.295573] 64 bytes from 10.82.31.73: icmp_seq=222 ttl=61 time=1.44 ms
[1489980459.297632] 64 bytes from 10.82.31.73: icmp_seq=223 ttl=61 time=1.69 ms
[1489980460.301420] 64 bytes from 10.82.31.73: icmp_seq=224 ttl=61 time=3.39 ms
[1489980461.302373] 64 bytes from 10.82.31.73: icmp_seq=225 ttl=61 time=2.55 ms
[1489980462.341737] 64 bytes from 10.82.31.73: icmp_seq=226 ttl=61 time=39.9 ms
[1489980463.307146] 64 bytes from 10.82.31.73: icmp_seq=227 ttl=61 time=4.04 ms
[1489980464.306662] 64 bytes from 10.82.31.73: icmp_seq=228 ttl=61 time=2.12 ms
[1489980465.307715] 64 bytes from 10.82.31.73: icmp_seq=229 ttl=61 time=1.66 ms
[1489980466.325389] 64 bytes from 10.82.31.73: icmp_seq=230 ttl=61 time=17.2 ms
[1489980467.797491] 64 bytes from 10.82.31.73: icmp_seq=231 ttl=61 time=487 ms
[1489980468.321015] 64 bytes from 10.82.31.73: icmp_seq=232 ttl=61 time=9.60 ms
[1489980470.326429] 64 bytes from 10.82.31.73: icmp_seq=234 ttl=61 time=4.04 ms
