TIME, SSID, BSSID, SIGNAL, ACTIVE
13:24:23.701757  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 2902164 bytes (28230 packets) 	TX: 80274964 bytes (55575 packets) 	signal: -65 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:24.701595  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 3299694 bytes (32073 packets) 	TX: 91181950 bytes (63124 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:25.701632  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 3780896 bytes (36736 packets) 	TX: 104218984 bytes (72148 packets) 	signal: -63 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:26.701679  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 4266142 bytes (41493 packets) 	TX: 117985625 bytes (81676 packets) 	signal: -63 dBm 	tx bitrate: 243.0 MBit/s MCS 14 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:27.701674  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 4735578 bytes (46095 packets) 	TX: 131279751 bytes (90877 packets) 	signal: -65 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:28.701573  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 5143100 bytes (50090 packets) 	TX: 142896232 bytes (98917 packets) 	signal: -60 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:29.701582  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 5589820 bytes (54448 packets) 	TX: 155164408 bytes (107408 packets) 	signal: -62 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:30.701677  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6008154 bytes (58549 packets) 	TX: 167082894 bytes (115657 packets) 	signal: -64 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:31.701603  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6329486 bytes (61699 packets) 	TX: 176159065 bytes (121939 packets) 	signal: -60 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:32.701632  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6687982 bytes (65213 packets) 	TX: 186320431 bytes (128972 packets) 	signal: -66 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:33.701641  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6836256 bytes (66666 packets) 	TX: 190568857 bytes (131913 packets) 	signal: -70 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:34.701636  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6909866 bytes (67387 packets) 	TX: 192383903 bytes (133170 packets) 	signal: -69 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:35.701623  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 6982180 bytes (68095 packets) 	TX: 194469164 bytes (134614 packets) 	signal: -70 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:36.701622  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 7064737 bytes (68904 packets) 	TX: 196749500 bytes (136193 packets) 	signal: -68 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:37.701759  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 7233681 bytes (70560 packets) 	TX: 201747881 bytes (139653 packets) 	signal: -66 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:38.701602  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 7587686 bytes (74030 packets) 	TX: 211758967 bytes (146582 packets) 	signal: -70 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:39.701661  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 8065114 bytes (78710 packets) 	TX: 225385443 bytes (156013 packets) 	signal: -68 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:40.701628  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 8522244 bytes (83191 packets) 	TX: 238319764 bytes (164965 packets) 	signal: -69 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:41.701751  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 8875910 bytes (86658 packets) 	TX: 248213879 bytes (171814 packets) 	signal: -64 dBm 	tx bitrate: 120.0 MBit/s MCS 11 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:42.701708  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 9218698 bytes (90018 packets) 	TX: 258145490 bytes (178688 packets) 	signal: -61 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:43.701639  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 9707056 bytes (94529 packets) 	TX: 269877571 bytes (186808 packets) 	signal: -61 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:44.701765  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 10081840 bytes (98187 packets) 	TX: 280359727 bytes (194063 packets) 	signal: -67 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:45.701608  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 10497249 bytes (102259 packets) 	TX: 292068688 bytes (202167 packets) 	signal: -65 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:46.701675  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 10810355 bytes (105328 packets) 	TX: 301013364 bytes (208358 packets) 	signal: -67 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:47.701643  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 11235151 bytes (109492 packets) 	TX: 313005545 bytes (216658 packets) 	signal: -66 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:48.701590  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 11546013 bytes (112539 packets) 	TX: 321733471 bytes (222699 packets) 	signal: -64 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:49.701756  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 11621753 bytes (113281 packets) 	TX: 323865090 bytes (224176 packets) 	signal: -66 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:50.701759  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 11697913 bytes (114027 packets) 	TX: 325950351 bytes (225620 packets) 	signal: -64 dBm 	tx bitrate: 30.0 MBit/s MCS 8 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:51.701738  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 11811369 bytes (115139 packets) 	TX: 329275422 bytes (227922 packets) 	signal: -67 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:52.701690  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 12247892 bytes (119418 packets) 	TX: 341711218 bytes (236529 packets) 	signal: -67 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:53.701766  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 12544132 bytes (122322 packets) 	TX: 349959404 bytes (242238 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:54.701770  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 12652485 bytes (123383 packets) 	TX: 352975245 bytes (244326 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:55.701643  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 12756965 bytes (124407 packets) 	TX: 355970856 bytes (246400 packets) 	signal: -64 dBm 	tx bitrate: 243.0 MBit/s MCS 14 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:56.701761  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 12834349 bytes (125165 packets) 	TX: 358121142 bytes (247889 packets) 	signal: -61 dBm 	tx bitrate: 216.0 MBit/s MCS 13 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:57.701652  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 13128853 bytes (127807 packets) 	TX: 364622323 bytes (252389 packets) 	signal: -58 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:58.701605  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 13607419 bytes (132406 packets) 	TX: 377355789 bytes (261202 packets) 	signal: -55 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:24:59.701603  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 14086071 bytes (137098 packets) 	TX: 390853660 bytes (270544 packets) 	signal: -47 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:00.701555  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 14569157 bytes (141815 packets) 	TX: 404334191 bytes (279874 packets) 	signal: -49 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:01.701590  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 15052333 bytes (146533 packets) 	TX: 417667332 bytes (289102 packets) 	signal: -55 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

